Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6851bdc5a92c1704b038775e,6844b14193daf52021c6103a,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:17.229000Z,2025-06-17T19:43:36.240000Z,,2025-06-17T19:43:37.166983Z,1940.0,C4PEEOEV,75,English,33,Female,White,United States,United States,United States,English,No,Part-Time
6851bdc5f87e1bd68c6f1911,6845b979f9c542901593b496,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:05.466000Z,2025-06-17T19:35:10.260000Z,,2025-06-17T19:35:10.782444Z,1445.0,C4PEEOEV,169,English,21,Male,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
6851bdc858a3c7956324583c,67f06db537225c87ef8a7332,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:11.219000Z,2025-06-17T19:35:16.902000Z,,2025-06-17T19:35:17.645444Z,1446.0,C4PEEOEV,602,English,27,Male,Black,United States,United States,United States,English,No,Full-Time
6851bdc9c0eb54410bdd6334,67ec6cd8141032f6df3d1b84,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:14.508000Z,2025-06-17T19:29:49.930000Z,,2025-06-17T19:29:50.430423Z,1116.0,C4PEEOEV,950,English,43,Male,Black,United States,United States,United States,English,No,Full-Time
6851bdca2ef7204d4cac0072,66a356f556472a46c90f7f44,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:10.241000Z,2025-06-17T19:31:19.918000Z,,2025-06-17T19:31:20.553137Z,1210.0,C4PEEOEV,610,"English, Portuguese",57,Female,White,Portugal,United Kingdom,Portugal,Portuguese,No,Full-Time
6851bdcb2a75dc0994c37164,683fc522440795d2af73ec82,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:21.290000Z,2025-06-17T19:44:57.569000Z,,2025-06-17T19:44:58.167259Z,2017.0,C4PEEOEV,132,English,65,Female,White,United States,United States,United States,English,No,Full-Time
6851bdcb95b52a4e41e962b2,61bb396840db417c1a138e3d,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:16.971000Z,2025-06-17T19:40:15.137000Z,,2025-06-17T19:40:15.694024Z,1739.0,C4PEEOEV,3104,"Amharic, English",42,Female,Black,Ethiopia,United States,Ethiopia,Amharic,No,Full-Time
6851bdcc99adca3a2263d7ca,660453c9877e571d12b555f7,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:23.378000Z,2025-06-17T19:38:08.792000Z,,2025-06-17T19:38:09.348145Z,1606.0,C4PEEOEV,2095,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6851bdcd06c9eed25839e5d5,5f5452df72345118f58d187b,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:18.863000Z,2025-06-17T19:27:50.738000Z,,2025-06-17T19:27:51.263359Z,992.0,C4PEEOEV,10106,English,61,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6851bdcd600ff96b19530985,6844a124b0353f507dc5fbe2,AWAITING REVIEW,Not Applicable,2025-06-17T19:11:09.766000Z,2025-06-17T19:26:00.949000Z,,2025-06-17T19:26:01.502866Z,892.0,C4PEEOEV,223,English,34,Male,White,United States,United States,United States,English,No,Part-Time
