"","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3","noSelect","Actual"
"35","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","B",-0.093614735328838,"B","B=1",1,FALSE
"36","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,"1","d2","Bu=0",0.886378845775473,"Bu","Bu=0",1,TRUE
"37","0","10","1","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","A",-0.336853040432788,"A","A=0",1,FALSE
"38","0","10","1","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","Au=1",0.0250244072378201,"Au","Au=1",1,TRUE
"39","0","10","1","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","B",0.0937822464687759,"B","B=1",1,TRUE
"40","0","10","1","1","0","1","0",0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,"1","d3","Bu=0",-0.886278014489594,"Bu","Bu=0",1,FALSE
"41","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","A",0.0743878741677015,"A","A=0",1,TRUE
"42","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","Au=1",-0.00498576858879627,"Au","Au=1",1,FALSE
"43","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","B",-0.494655413001773,"B","B=1",1,FALSE
"44","0","11","1","1","1","0","1",0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,"1","d2","Bu=1",-0.825089515269173,"Bu","Bu=1",1,FALSE
"45","0","11","1","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","A",-0.0733514980243343,"A","A=0",1,FALSE
"46","0","11","1","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","Au=1",0.00471125548345684,"Au","Au=1",1,TRUE
"47","0","11","1","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","B",0.494470280257981,"B","B=1",1,TRUE
"48","0","11","1","1","1","1","1",0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,"1","d3","Bu=1",0.82519317628416,"Bu","Bu=1",1,TRUE
"49","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","A",-0.185290938837516,"A","A=1",1,FALSE
"50","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","Au=0",0.7202288295543,"Au","Au=0",1,TRUE
"51","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","B",0.162957337577656,"B","B=0",1,TRUE
"52","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,"1","d4","Bu=0",0.218531802295733,"Bu","Bu=0",1,TRUE
"53","1","00","0","0","0","1","0",0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","A",0.184814614379104,"A","A=1",1,TRUE
"54","1","00","0","0","0","1","0",0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","Au=0",-0.720463897632459,"Au","Au=0",1,FALSE
