"","trial_id","pgroup","trialtype","node3","n","prop","ig","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","baseline","A","B","E","Include","Observed","Known"
"1","1_c1","1","c1","A=0",18,0.253521126760563,0,0.207258210321184,0.207258210321184,0.207258210321184,1,0.207258210321184,1,1,1,TRUE,0.125,0,0,0,TRUE,TRUE,TRUE
"2","1_c1","1","c1","A=1",0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0.125,0,0,0,FALSE,TRUE,FALSE
"3","1_c1","1","c1","Au=0",1,0.0140845070422535,0,0.0258172462016801,0.0258172462016801,0.0258172462016801,0.5,0.0258172462016801,0.5,0.5,0.5,TRUE,0.125,0,0,0,TRUE,FALSE,FALSE
"4","1_c1","1","c1","Au=1",3,0.0422535211267606,0,-Inf,-0.0107114940297082,0,-Inf,-0.0107114940297082,0.5,-Inf,0.5,FALSE,0.125,0,0,0,TRUE,FALSE,FALSE
"5","1_c1","1","c1","B=0",38,0.535211267605634,0,0.0647105289667486,0.0647105289667486,0.0647105289667486,1,0.0647105289667486,1,1,1,TRUE,0.125,0,0,0,TRUE,TRUE,TRUE
"6","1_c1","1","c1","B=1",2,0.028169014084507,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0.125,0,0,0,FALSE,TRUE,FALSE
"7","1_c1","1","c1","Bu=0",5,0.0704225352112676,0,0.0252841753833608,0.0252841753833608,0.0252841753833608,0.5,0.0252841753833608,0.5,0.5,0.5,TRUE,0.125,0,0,0,TRUE,FALSE,FALSE
"8","1_c1","1","c1","Bu=1",4,0.0563380281690141,0,-Inf,-0.0108112535922808,0,-Inf,-0.0108112535922808,0.5,-Inf,0.5,FALSE,0.125,0,0,0,TRUE,FALSE,FALSE
"9","1_c2","1","c2","A=0",36,0.580645161290323,0,0.411696626158267,0.411696626158267,0.411696626158267,1,0.411696626158267,1,1,1,TRUE,0.125,0,1,0,TRUE,TRUE,TRUE
"10","1_c2","1","c2","A=1",1,0.0161290322580645,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0.125,0,1,0,FALSE,TRUE,FALSE
"11","1_c2","1","c2","Au=0",2,0.032258064516129,0,0.0512613100435001,0.0512613100435001,0.0512613100435001,0.5,0.0512613100435001,0.5,0.5,0.5,TRUE,0.125,0,1,0,TRUE,FALSE,FALSE
"12","1_c2","1","c2","Au=1",1,0.0161290322580645,0,-Inf,-0.0214551837141732,0,-Inf,-0.0214551837141732,0.5,-Inf,0.5,FALSE,0.125,0,1,0,TRUE,FALSE,FALSE
"13","1_c2","1","c2","B=0",1,0.0161290322580645,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,0.125,0,1,0,FALSE,TRUE,FALSE
"14","1_c2","1","c2","B=1",8,0.129032258064516,0,-Inf,-0.0183398014497966,0,-Inf,-0.0183398014497966,0,-Inf,0,FALSE,0.125,0,1,0,TRUE,TRUE,FALSE
"15","1_c2","1","c2","Bu=0",12,0.193548387096774,0,0.0511486625512936,0.0511486625512936,0.0511486625512936,0.5,0.0511486625512936,0.5,0.5,0.5,TRUE,0.125,0,1,0,TRUE,FALSE,FALSE
"16","1_c2","1","c2","Bu=1",1,0.0161290322580645,0,-Inf,-0.0215140550479333,0,-Inf,-0.0215140550479333,0.5,-Inf,0.5,FALSE,0.125,0,1,0,TRUE,FALSE,FALSE
