"","pgroup","trialtype","node3","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","node","cesm","node2","Actual","cesmActual","post","prior","ig","Act1","noSelect","full","noAct"
"27","1","c2","B=1","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"B",-0.0152385863388066,"B",FALSE,0,0,0,0,0,0,0,-0.00380964658470166
"28","1","c2","B=1","0","11","1","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"B",-0.0363918766644165,"B",FALSE,0,0,0,0,0,0,0,-0.00909796916610411
"29","1","c2","Bu=0","0","00","0","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,"Bu=0",0.0608033093719919,"Bu",TRUE,0.0608033093719919,0.5,0.5,0,0.5,0.5,0.0304016546859959,0.0304016546859959
"30","1","c2","Bu=0","0","10","1","1","0","0","0",0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,"Bu=0",0.143791340833183,"Bu",TRUE,0.143791340833183,0.5,0.5,0,0.5,0.5,0.0718956704165913,0.0718956704165913
"31","1","c2","Bu=1","0","01","0","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,"Bu=1",-0.0255161553381507,"Bu",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0127580776690753
"32","1","c2","Bu=1","0","11","1","1","1","0","0",0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,"Bu=1",-0.0605400648535825,"Bu",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0302700324267912
"33","1","c3","A=1","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"A",-0.0381870018660387,"A",FALSE,0,0,0,0,0,0,0,-0.00954675046650967
"34","1","c3","A=1","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"A",-0.091975023479138,"A",FALSE,0,0,0,0,0,0,0,-0.0229937558697845
"35","1","c3","A=1","1","10","1","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,"A",-0.092240757200037,"A",FALSE,0,0,0,0,0,0,0,-0.0230601893000093
"36","1","c3","A=1","1","11","1","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,"A",-0.231725224037501,"A",FALSE,0,0,0,0,0,0,0,-0.0579313060093752
