"","trial_id","node3","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","noKind","noActnoKind","noInfnoKind","noKindnoSelect","noActnoInfnoKind","noActnoKindnoSelect","noInfnoKindnoSelect","noActnoInfnoKindnoSelect","n","prop","pgroup","Actual","A","B","E","include"
"1","1_c1","A=0",0.220285313613911,0.215670050461343,0.234053410062476,0.30708674356778,0.230584201578416,0.323377225648889,0.32964482321813,0.226026516756618,0.222903542657037,0.215268639416576,0.222536405870506,0.308593360672848,0.216150211649909,0.330353877524393,0.274083740260071,0.218896516035851,19,0.26027397260274,1,TRUE,0,0,0,TRUE
"2","1_c1","A=1",0.0246984136326512,0.0286616540389308,0.0260416977212427,0.0307793273562027,0.0318929561311249,0.0448708692963378,0.0466196209962094,0.025969139373649,0.0236323280118567,0.0251907997702347,0.0242338634053541,0.0268996477870596,0.024899850735663,0.0464874082179587,0.0236175030197176,0.0263832329868984,0,0,1,FALSE,0,0,0,FALSE
"3","1_c1","Au=0",0.149821901773458,0.15233996473025,0.147147107573717,0.109134605801919,0.149331827307934,0.0658759525273866,0.0743909283099575,0.124002171934867,0.14983955543159,0.153721975509698,0.149659294072666,0.111936608585532,0.153739487449625,0.0615793571288241,0.131882924362268,0.127360125488626,1,0.0136986301369863,1,TRUE,0,0,0,TRUE
"4","1_c1","Au=1",0.141155527587961,0.129811996460052,0.137065221049319,0.052999323274099,0.122832737457836,0.0658759525273866,0.0493446274757027,0.124002171934867,0.140908806709236,0.131451475451783,0.140758758284645,0.05257038295456,0.131221329249069,0.0615793571288241,0.0704158323579425,0.127360125488626,3,0.0410958904109589,1,FALSE,0,0,0,TRUE
"5","1_c1","B=0",0.149476177665971,0.152023625436089,0.146742017370657,0.30708674356778,0.148949948455352,0.323377225648889,0.32964482321813,0.226026516756618,0.149483011860011,0.153410859590668,0.149303920358097,0.308593360672848,0.153424637408816,0.330353877524393,0.274083740260071,0.218896516035851,39,0.534246575342466,1,TRUE,0,0,0,TRUE
"6","1_c1","B=1",0.0246984136326512,0.0286616540389308,0.0260416977212427,0.0307793273562027,0.0318929561311249,0.0448708692963378,0.0466196209962094,0.025969139373649,0.0236323280118567,0.0251907997702347,0.0242338634053541,0.0268996477870596,0.024899850735663,0.0464874082179587,0.0236175030197176,0.0263832329868984,2,0.0273972602739726,1,FALSE,0,0,0,FALSE
"7","1_c1","Bu=0",0.148708724505436,0.151321168590603,0.145843627452026,0.109134605801919,0.148102907741766,0.0658759525273866,0.0743909283099575,0.124002171934867,0.148691620609176,0.152719848268835,0.148515136318732,0.111936608585532,0.15272535856406,0.0615793571288241,0.131882924362268,0.127360125488626,5,0.0684931506849315,1,TRUE,0,0,0,TRUE
"8","1_c1","Bu=1",0.141155527587961,0.141509886243802,0.137065221049319,0.052999323274099,0.136412465196446,0.0658759525273866,0.0493446274757027,0.124002171934867,0.140908806709236,0.143045602221971,0.140758758284645,0.05257038295456,0.142939274207194,0.0615793571288241,0.0704158323579425,0.127360125488626,4,0.0547945205479452,1,FALSE,0,0,0,TRUE
"9","1_c2","A=0",0.349805025751346,0.33362211417659,0.396970557629806,0.447589715667736,0.385163048664351,0.535193396011203,0.558436917186515,0.273529084377617,0.357581381611759,0.329110705442183,0.356918508462862,0.44498294613729,0.331732308352702,0.563234669095524,0.358068924182311,0.260266465553808,38,0.584615384615385,1,TRUE,0,1,0,TRUE
"10","1_c2","A=1",0.0246984136326512,0.0286616540389308,0.0260416977212427,0.0307793273562027,0.0318929561311249,0.0448708692963378,0.0466196209962094,0.025969139373649,0.0236323280118567,0.0251907997702347,0.0242338634053541,0.0268996477870596,0.024899850735663,0.0464874082179587,0.0236175030197176,0.0263832329868984,1,0.0153846153846154,1,FALSE,0,1,0,FALSE
