"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","baseline"
"1","1_c1","1","c1","A=0",18,0.253521126760563,NA,0.103240805985188,0.103240805985188,0.103240805985188,1,0.103240805985188,1,1,1,TRUE,0.125
"2","1_c1","1","c1","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"3","1_c1","1","c1","Au=0",1,0.0140845070422535,0,0.0127865223012218,0.0127865223012218,0.0127865223012218,0.5,0.0127865223012218,0.5,0.5,0.5,TRUE,0.125
"4","1_c1","1","c1","Au=1",3,0.0422535211267606,0,0,0.00533884928036485,0,0,0.00533884928036485,0.5,0,0.5,FALSE,0.125
"5","1_c1","1","c1","B=0",38,0.535211267605634,NA,0.0328582722765962,0.0328582722765962,0.0328582722765962,1,0.0328582722765962,1,1,1,TRUE,0.125
"6","1_c1","1","c1","B=1",2,0.028169014084507,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"7","1_c1","1","c1","Bu=0",5,0.0704225352112676,0,0.0131835649942298,0.0131835649942298,0.0131835649942298,0.5,0.0131835649942298,0.5,0.5,0.5,TRUE,0.125
"8","1_c1","1","c1","Bu=1",4,0.0563380281690141,0,0,0.00540780868868139,0,0,0.00540780868868139,0.5,0,0.5,FALSE,0.125
"9","1_c2","1","c2","A=0",36,0.580645161290323,NA,0.205410063482636,0.205410063482636,0.205410063482636,1,0.205410063482636,1,1,1,TRUE,0.125
"10","1_c2","1","c2","A=1",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"11","1_c2","1","c2","Au=0",2,0.032258064516129,0,0.0252477885835027,0.0252477885835027,0.0252477885835027,0.5,0.0252477885835027,0.5,0.5,0.5,TRUE,0.125
"12","1_c2","1","c2","Au=1",1,0.0161290322580645,0,0,0.0106537177996507,0,0,0.0106537177996507,0.5,0,0.5,FALSE,0.125
"13","1_c2","1","c2","B=0",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"14","1_c2","1","c2","B=1",8,0.129032258064516,NA,0,0.00905342262178026,0,0,0.00905342262178026,0,0,0,FALSE,0.125
"15","1_c2","1","c2","Bu=0",12,0.193548387096774,0,0.0253559308043924,0.0253559308043924,0.0253559308043924,0.5,0.0253559308043924,0.5,0.5,0.5,TRUE,0.125
"16","1_c2","1","c2","Bu=1",1,0.0161290322580645,0,0,0.010628207335038,0,0,0.010628207335038,0.5,0,0.5,FALSE,0.125
"17","1_c3","1","c3","A=0",1,0.0125,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"18","1_c3","1","c3","A=1",8,0.1,NA,0,0.0567248733594789,0,0,0.0567248733594789,0,0,0,FALSE,0.125
"19","1_c3","1","c3","Au=0",12,0.15,0,0.0636401767793472,0.0636401767793472,0.0636401767793472,0.5,0.0636401767793472,0.5,0.5,0.5,TRUE,0.125
"20","1_c3","1","c3","Au=1",1,0.0125,0,0,0.0278733064422448,0,0,0.0278733064422448,0.5,0,0.5,FALSE,0.125
"21","1_c3","1","c3","B=0",41,0.5125,NA,0.166081433660131,0.166081433660131,0.166081433660131,1,0.166081433660131,1,1,1,TRUE,0.125
"22","1_c3","1","c3","B=1",5,0.0625,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"23","1_c3","1","c3","Bu=0",5,0.0625,0,0.0631027467440961,0.0631027467440961,0.0631027467440961,0.5,0.0631027467440961,0.5,0.5,0.5,TRUE,0.125
"24","1_c3","1","c3","Bu=1",7,0.0875,0,0,0.0280112999111226,0,0,0.0280112999111226,0.5,0,0.5,FALSE,0.125
"25","1_c4","1","c4","A=0",2,0.0277777777777778,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"26","1_c4","1","c4","A=1",6,0.0833333333333333,NA,0,0.0753391240330315,0,0,0.131969827561675,0,0,0,FALSE,0.125
"27","1_c4","1","c4","Au=0",18,0.25,0.167,0.17251431200736,0.17251431200736,0.12938573400552,0.666666666666666,0.12938573400552,0.666666666666666,0.5,0.5,TRUE,0.125
"28","1_c4","1","c4","Au=1",2,0.0277777777777778,0.167,0,0.0216636418630074,0,0,0.0682934013153953,0.333333333333333,0,0.5,FALSE,0.125
"29","1_c4","1","c4","B=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"30","1_c4","1","c4","B=1",12,0.166666666666667,NA,0,0.031476105849928,0,0,0.0548331620796345,0,0,0,FALSE,0.125
"31","1_c4","1","c4","Bu=0",26,0.361111111111111,0.167,0.172288878471975,0.172288878471975,0.129216658853981,0.666666666666666,0.129216658853981,0.666666666666666,0.5,0.5,TRUE,0.125
