"","X","A","B","uAuB","Au","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3"
"1",1,0,0,"00",0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","A",0.125560625740942,"A","A=0"
"2",1,0,0,"00",0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","Au=0",0.0522092394914649,"Au","Au=0"
"3",1,0,0,"00",0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","B",0.325489996097285,"B","B=0"
"4",1,0,0,"00",0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"1","d1","Bu=0",0.434796928056041,"Bu","Bu=0"
"5",2,0,0,"01",0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","A",0.0514015923343844,"A","A=0"
"6",2,0,0,"01",0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","Au=0",0.0210312345265696,"Au","Au=0"
"7",2,0,0,"01",0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","B",0.891077486880123,"B","B=0"
"8",2,0,0,"01",0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"1","d1","Bu=1",-0.21071669070818,"Bu","Bu=1"
"9",3,0,0,"10",1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","A",0.0629073434170542,"A","A=0"
"10",3,0,0,"10",1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","Au=1",-0.0258877304822753,"Au","Au=1"
"11",3,0,0,"10",1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","B",0.100363620707638,"B","B=0"
"12",3,0,0,"10",1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"1","d1","Bu=0",0.949312430563118,"Bu","Bu=0"
"13",4,0,0,"11",1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","A",0.0112676149811099,"A","A=0"
"14",4,0,0,"11",1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","Au=1",-0.00648281969794177,"Au","Au=1"
"15",4,0,0,"11",1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","B",0.501873448874354,"B","B=0"
"16",4,0,0,"11",1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"1","d1","Bu=1",-0.835409940958022,"Bu","Bu=1"
"17",5,0,1,"00",0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","A",0.584679533176657,"A","A=0"
"18",5,0,1,"00",0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","Au=0",0.0427241712243597,"Au","Au=0"
"19",5,0,1,"00",0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","B",-0.262535578717314,"B","B=1"
"20",5,0,1,"00",0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,"1","d2","Bu=0",0.350863673795918,"Bu","Bu=0"
"21",6,0,1,"00",0,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","A",-0.58847710327964,"A","A=0"
"22",6,0,1,"00",0,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","Au=0",-0.042870365774708,"Au","Au=0"
"23",6,0,1,"00",0,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","B",0.260911136079446,"B","B=1"
"24",6,0,1,"00",0,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,"1","d3","Bu=0",-0.348158289959152,"Bu","Bu=0"
"25",7,0,1,"01",0,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","A",0.276287507497627,"A","A=0"
"26",7,0,1,"01",0,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","Au=0",0.0198734693993979,"Au","Au=0"
"27",7,0,1,"01",0,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","B",-0.848644856673,"B","B=1"
"28",7,0,1,"01",0,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,"1","d2","Bu=1",-0.199803902057607,"Bu","Bu=1"
"29",8,0,1,"01",0,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","A",-0.27730134420578,"A","A=0"
"30",8,0,1,"01",0,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","Au=0",-0.0206791465235005,"Au","Au=0"
"31",8,0,1,"01",0,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,"1","d3","B",0.848954728583992,"B","B=1"
