"","trial_id","node3","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","noKind","noActnoKind","noInfnoKind","noKindnoSelect","noActnoInfnoKind","noActnoKindnoSelect","noInfnoKindnoSelect","noActnoInfnoKindnoSelect","baseline","n","prop","pgroup","Actual","A","B","E","include"
"132","2_c5","Au=1",0.364500560471459,0.384409584535126,0.274009827899191,0.399908804312803,0.153944350019215,0.434914118743805,0.293621763036646,0.14484706633593,0.313291283236483,0.32132986368068,0.161919131472937,0.21477862558477,0.113417669504498,0.204509830510036,0.0780341095457263,0.0839524517558002,0.125,29,0.345238095238095,2,TRUE,1,1,1,TRUE
"133","2_c5","B=0",0.0235215416473721,0.0230990718237502,0.0245535428340915,0.0302719034930605,0.0249646600843711,0.0438151033791275,0.0451837077574647,0.025698207330913,0.0228911515419143,0.0224976081235963,0.0234557829846271,0.0265061818869882,0.0245279454021897,0.04515061555205,0.0233815474814938,0.0260943942195984,0.125,1,0.0119047619047619,2,NA,1,1,1,FALSE
"134","2_c5","B=1",0.161606024972465,0.155890820800144,0.11236489701578,0.134405402092139,0.0660469363978686,0.117657169214694,0.113032070333349,0.112186020102022,0.18810042341197,0.188327030816551,0.182196472940657,0.21477862558477,0.120262358074196,0.204509830510036,0.26847418741986,0.208780645420824,0.125,13,0.154761904761905,2,TRUE,1,1,1,TRUE
"135","2_c5","Bu=0",0.0676591785976852,0.0645133237482118,0.105061303645461,0.0416697064932961,0.0732423892970299,0.0446190987686485,0.0480057455408687,0.0654226541916018,0.0703300367401345,0.0675649993733422,0.13466324937243,0.0439365669434724,0.11014633441757,0.0458297234278774,0.0696406519785559,0.0918369063432109,0.125,1,0.0119047619047619,2,FALSE,1,1,1,TRUE
"136","2_c5","Bu=1",0.115557775078427,0.111668084264288,0.121612934050475,0.168263856754465,0.0742949426960515,0.150767106660394,0.13571554114331,0.118567854848713,0.123543077281346,0.121343318027895,0.1580499687283,0.21477862558477,0.112060700202535,0.204509830510036,0.198973116694454,0.167589354560523,0.125,29,0.345238095238095,2,TRUE,1,1,1,TRUE
"137","2_d1","A=0",0.0854571955095639,0.0813276026441401,0.0579312518607214,0.276279618046961,0.106815392192035,0.25876918359734,0.281188311528382,0.213790860121716,0.0831804895832152,0.0782488109002136,0.0555206834735153,0.278860326394997,0.105061405802261,0.262791259250216,0.25649474656894,0.208780645420824,0.125,9,0.140625,2,TRUE,0,0,0,TRUE
"138","2_d1","A=1",0.0235215416473721,0.0230990718237502,0.0245535428340915,0.0302719034930605,0.0249646600843711,0.0438151033791275,0.0451837077574647,0.025698207330913,0.0228911515419143,0.0224976081235963,0.0234557829846271,0.0265061818869882,0.0245279454021897,0.04515061555205,0.0233815474814938,0.0260943942195984,0.125,3,0.046875,2,NA,0,0,0,FALSE
"139","2_d1","Au=0",0.082352286608274,0.0783107361667645,0.0556394121633912,0.221982211430025,0.103728406911431,0.175626255687043,0.198165823692087,0.188966747090465,0.0800885905004165,0.0752669829722916,0.053274739496461,0.225418859637795,0.101948826365837,0.171245120304628,0.220693575114467,0.186871208059622,0.125,8,0.125,2,TRUE,0,0,0,TRUE
"140","2_d1","Au=1",0.0718134841724188,0.0701370370594516,0.0482121989228461,0.0505915482314164,0.0951173914950416,0.046450244417051,0.0482748739904697,0.0783178535396208,0.0696239835533785,0.0672162765193766,0.0460214382174912,0.0498692924037615,0.093283104324425,0.0467514463414531,0.0673796366894863,0.0839524517558002,0.125,2,0.03125,2,FALSE,0,0,0,TRUE
"141","2_d1","B=0",0.560211988549512,0.56658575691351,0.686018679323242,0.276279618046961,0.436119378157291,0.25876918359734,0.281188311528382,0.213790860121716,0.572650638973077,0.582928439476208,0.699719659804994,0.278860326394997,0.44591257928338,0.262791259250216,0.25649474656894,0.208780645420824,0.125,32,0.5,2,TRUE,0,0,0,TRUE
"142","2_d1","B=1",0.0235215416473721,0.0230990718237502,0.0245535428340915,0.0302719034930605,0.0249646600843711,0.0438151033791275,0.0451837077574647,0.025698207330913,0.0228911515419143,0.0224976081235963,0.0234557829846271,0.0265061818869882,0.0245279454021897,0.04515061555205,0.0233815474814938,0.0260943942195984,0.125,1,0.015625,2,NA,0,0,0,FALSE
"143","2_d1","Bu=0",0.0813084776930687,0.0772977413807477,0.0548791731387704,0.0637316490270993,0.102681454492536,0.0481124204735787,0.0525403897552794,0.0863183908573008,0.0790500107527053,0.0742669519501969,0.0525304748207931,0.0641095389907127,0.100893887849447,0.0479136688995467,0.0847945634056929,0.0918369063432109,0.125,4,0.0625,2,TRUE,0,0,0,TRUE
"144","2_d1","Bu=1",0.0718134841724188,0.0801429821878855,0.0482121989228461,0.0505915482314164,0.105608656582924,0.124642505469392,0.0482748739904697,0.167418873607356,0.0696239835533785,0.0770773219345203,0.0460214382174912,0.0498692924037615,0.103844305570271,0.118206014849841,0.0673796366894863,0.167589354560523,0.125,5,0.078125,2,FALSE,0,0,0,TRUE
"145","2_d2","A=0",0.0654900261571395,0.0592986375748833,0.0946687623311291,0.17372483111772,0.0692737305389453,0.150867043229641,0.148568010942381,0.142042320127891,0.0749010508069786,0.0687731838020794,0.148990218463627,0.28350493982828,0.0962972056244349,0.291290843469767,0.327163119143483,0.245282303453724,0.125,15,0.208333333333333,2,TRUE,0,1,0,TRUE
"146","2_d2","A=1",0.0235215416473721,0.0230990718237502,0.0245535428340915,0.0302719034930605,0.0249646600843711,0.0438151033791275,0.0451837077574647,0.025698207330913,0.0228911515419143,0.0224976081235963,0.0234557829846271,0.0265061818869882,0.0245279454021897,0.04515061555205,0.0233815474814938,0.0260943942195984,0.125,0,0,2,NA,0,1,0,FALSE
"147","2_d2","Au=0",0.063176465915246,0.0572364207162508,0.0920202828463073,0.142062726716846,0.0683611926909411,0.109460005463188,0.112199135435337,0.126687443880784,0.071968175157586,0.0660520349559695,0.144151465369034,0.229079875377928,0.0947821637394067,0.187756930308289,0.280508806241619,0.218995247169405,0.125,1,0.0138888888888889,2,TRUE,0,1,0,TRUE
