"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"1","1_c1","1","c1","A=0",18,0.253521126760563,NA,0.181576059647544,0.181576059647544,0.181576059647544,1,0.181576059647544,1,1,1,TRUE
"2","1_c1","1","c1","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"3","1_c1","1","c1","Au=0",1,0.0140845070422535,0,0.0258172462016801,0.0258172462016801,0.0258172462016801,0.5,0.0258172462016801,0.5,0.5,0.5,TRUE
"4","1_c1","1","c1","Au=1",3,0.0422535211267606,0,0,-0.0500253754715102,0,0,-0.0500253754715102,0.5,0,0.5,FALSE
"5","1_c1","1","c1","B=0",38,0.535211267605634,NA,0.0246048328776383,0.0246048328776383,0.0246048328776383,1,0.0246048328776383,1,1,1,TRUE
"6","1_c1","1","c1","B=1",2,0.028169014084507,NA,0,0,0,NA,0,NA,NA,NA,NA
"7","1_c1","1","c1","Bu=0",5,0.0704225352112676,0,0.0216764427356594,0.0216764427356594,0.0216764427356594,0.5,0.0216764427356594,0.5,0.5,0.5,TRUE
"8","1_c1","1","c1","Bu=1",4,0.0563380281690141,0,0,-0.00955534607548145,0,0,-0.00955534607548145,0.5,0,0.5,FALSE
"9","1_c2","1","c2","A=0",36,0.580645161290323,NA,0.436323378681087,0.436323378681087,0.436323378681087,1,0.436323378681087,1,1,1,TRUE
"10","1_c2","1","c2","A=1",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA
"11","1_c2","1","c2","Au=0",2,0.032258064516129,0,0.0108656064885289,0.0108656064885289,0.0108656064885289,0.5,0.0108656064885289,0.5,0.5,0.5,TRUE
"12","1_c2","1","c2","Au=1",1,0.0161290322580645,0,0,-0.0214551837141732,0,0,-0.0214551837141732,0.5,0,0.5,FALSE
"13","1_c2","1","c2","B=0",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA
"14","1_c2","1","c2","B=1",8,0.129032258064516,NA,0,-0.059022942137537,0,0,-0.059022942137537,0,0,0,FALSE
"15","1_c2","1","c2","Bu=0",12,0.193548387096774,0,0.0538932897753248,0.0538932897753248,0.0538932897753248,0.5,0.0538932897753248,0.5,0.5,0.5,TRUE
"16","1_c2","1","c2","Bu=1",1,0.0161290322580645,0,0,-0.022858364523229,0,0,-0.022858364523229,0.5,0,0.5,FALSE
"17","1_c3","1","c3","A=0",1,0.0125,NA,0,0,0,NA,0,NA,NA,NA,NA
