"","A","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"1",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,1,0.0627390156261633,0.0262867221587711,0.161644718250617,0.216233188677604,NA,NA,NA,NA,NA,1
"2",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,1,0.0248858526759635,0.0108700740171381,0.443127519620004,0.104012132213526,NA,NA,NA,NA,NA,1
"3",0,1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,1,0.295686839823938,0.0212540703175712,0.129504651311039,0.174650358784987,NA,NA,NA,NA,NA,1
"4",0,1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,1,0.13822184908258,0.0104848566401697,0.424382450864738,0.100803758174384,NA,NA,NA,NA,NA,1
"5",0,0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,1,0.031266442389824,0.0132143034651201,0.0500624388991342,0.472518340930345,NA,NA,NA,NA,NA,1
"6",0,0,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,1,0.0315716271478277,0.0131802617379622,0.0508702162692692,0.473440701429953,NA,NA,NA,NA,NA,1
"7",0,0,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,1,0.00633827110612801,0.00267933553022932,0.250172066237207,0.41833833413522,NA,NA,NA,NA,NA,1
"8",0,0,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,1,0.00617720392743558,0.00265582034730185,0.24996505617504,0.416774271645482,NA,NA,NA,NA,NA,1
"9",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,1,0.167151228966559,0.0125715934594752,0.0471689080837802,0.443432517343635,NA,NA,NA,NA,NA,1
"10",0,1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,1,0.169267193345105,0.0122205241106951,0.0465110931171412,0.44081427737497,NA,NA,NA,NA,NA,1
"11",0,1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,1,0.0366891781241037,0.00265706642912606,0.250051750618266,0.411512898488289,NA,NA,NA,NA,NA,1
"12",0,1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,1,0.036331473779681,0.00281838197390468,0.25044375438631,0.408823959525764,NA,NA,NA,NA,NA,1
"13",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,1,0.091654744797584,0.356219041212008,0.0826421926057478,0.108706418380168,NA,NA,NA,NA,NA,1
"14",1,0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,1,0.0921183206412541,0.359205263483675,0.0825596671664277,0.111132147150674,NA,NA,NA,NA,NA,1
"15",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,1,0.0591144782498578,0.230051242031961,0.354501761321747,0.0832394610575619,NA,NA,NA,NA,NA,1
"16",1,0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,1,0.0577356187426166,0.228602201639201,0.357605297780619,0.0842690116358774,NA,NA,NA,NA,NA,1
"17",1,1,0,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,1,0.376843756483628,0.260442855098133,0.0251391322665519,0.0340443776339696,NA,NA,NA,NA,NA,1
"18",1,1,0,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,1,0.375494010627374,0.262873893342811,0.0255121040145578,0.0335767601691368,NA,NA,NA,NA,NA,1
"19",1,1,0,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,1,0.327378309917908,0.223009540661,0.150468372869566,0.0358831704346299,NA,NA,NA,NA,NA,1
"20",1,1,0,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,1,0.328240661516646,0.226938205777955,0.147686544966705,0.0347878999734453,NA,NA,NA,NA,NA,1
"21",1,0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,1,0.0656379966883465,0.261493696673035,0.0376693834013653,0.35843699763717,NA,NA,NA,NA,NA,1
"22",1,0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,1,0.0684138278389106,0.265684596177779,0.037279714865286,0.352436441582009,NA,NA,NA,NA,NA,1
"23",1,0,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,1,0.0170970511663748,0.0679474093796711,0.236643183024376,0.391855530810075,NA,NA,NA,NA,NA,1
"24",1,0,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,1,0.0172394563680572,0.0690690440156686,0.230606073626182,0.389951336075029,NA,NA,NA,NA,NA,1
"25",1,1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,1,0.341860084832942,0.237374962295684,0.0146967975333686,0.135798373820784,NA,NA,NA,NA,NA,1
"26",1,1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,1,0.343807774430783,0.239299114484612,0.0146938204460672,0.135655838607649,NA,NA,NA,NA,NA,1
"27",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,1,0.142892591938566,0.0986221486795399,0.143276476050232,0.236681951789417,NA,NA,NA,NA,NA,1
"28",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,1,0.144783451665919,0.0999848666755943,0.144898330102965,0.242465132572755,NA,NA,NA,NA,NA,1
"29",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,1,0.0375101887594892,0.0167289424704221,0.0147927121512424,0.0153151875693611,NA,NA,NA,NA,NA,1
"30",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,1,0.0795971646864742,0.0345713947974666,0.0270202296504854,0.00649430914997448,NA,NA,NA,NA,NA,1
"31",0,1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,1,0.087970841226872,0.00648616567333605,0.0301301054450322,0.0335815905993493,NA,NA,NA,NA,NA,1
