"","A","B","Au","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"26",1,1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,1,0.689145371851396,0.477761462205151,0.0218651361882499,-0.273393085063259,26709,14931,6014,15281,67742,1
"27",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,1,-0.284887776885097,-0.194615184045458,-0.287340153908393,-0.480360413043594,26981,14856,6050,14906,7599,1
"28",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,1,0.281012976229264,0.199887052998221,0.289321666783281,0.476933581290795,26793,15070,5891,14878,92548,1
"29",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,1,0.0602863446878442,0.0249729145354937,0.0187577957445075,0.0250121724397868,2938,14995,23819,14955,99989,1
"30",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,1,0.163593087243013,0.0679583131822004,0.0504437443750166,-0.0119362456839003,2940,14932,24161,14948,99919,1
"31",0,0,1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,1,0.131621805655338,-0.054431391534555,0.00579049507031996,0.0550180058580143,2970,84819,94053,14907,99947,1
"32",0,0,1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,1,0.340030259745322,-0.143229562040328,0.0151581884632518,-0.0252133346445069,3022,85061,94005,14998,99641,1
"33",0,1,0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,1,0.169695521967032,0.0127516092677843,-0.0538014659232962,0.0718792782310679,3066,84852,76065,14987,99909,1
"34",0,1,0,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,1,0.419719641427636,0.0313626845973509,-0.132083625268479,-0.0311953562837697,3033,84853,75997,15010,99452,1
"35",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,1,0.335162359493529,-0.024903434538394,-0.0148716244731936,0.14140006171974,3015,15081,5956,14869,99652,1
"36",0,1,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,1,0.815270510970868,-0.0605466598101862,-0.0365421131026852,-0.0612889594175919,3063,14861,5978,15172,97943,1
"37",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,1,-0.0374211109024819,0.147328351931905,0.108967779253869,0.146117767158655,26853,14947,24314,15158,99620,1
"38",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,1,-0.0925188163105011,0.361166102759206,0.26848923061281,-0.0631679719981439,27179,14953,24136,14820,97758,1
"39",1,0,1,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,1,-0.0732049729192151,-0.287194162797234,0.0309050736858974,0.288693605355767,26975,85042,93823,14826,98570,1
"40",1,0,1,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,1,-0.185523660259535,-0.732939629028534,0.0786409530100022,-0.128015331982257,26863,85147,93809,14885,91432,1
"41",1,1,0,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,13,"conjunctive",0.333333333333333,4,1,-0.092408165101103,0.0637448913728282,-0.269296257536936,0.362371581434173,26997,85036,75849,14955,97743,1
"42",1,1,0,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,14,"conjunctive",0,5,1,0.090983415718646,-0.0625962652697832,0.266285196726542,-0.359006198535603,27075,85053,76078,14748,2181,1
"43",1,1,0,1,0,0,0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,1,-0.232368886899526,0.15988614286104,-0.678195887677105,-0.160317856713722,27198,84971,76090,15098,87372,1
"44",1,1,0,1,1,0,0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,1,0.234156498717295,-0.160596453188284,0.677290599095764,0.160097868753578,27239,85027,75799,14894,12775,1
"45",1,1,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,1,-0.185694571836219,-0.128049126871167,-0.0778061945177002,0.727869334277153,27081,15009,6121,14912,91504,1
"46",1,1,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,1,0.189170675050663,0.130836840571071,0.0787440459124242,-0.738716148536156,27088,15090,6048,15003,8786,1
