"","trial_id","node3","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","noKind","noActnoKind","noInfnoKind","noKindnoSelect","noActnoInfnoKind","noActnoKindnoSelect","noInfnoKindnoSelect","noActnoInfnoKindnoSelect","n","prop","pgroup","Actual","A","B","E","include"
"1","1_c1","A=0",0.220713544212459,0.216221824611008,0.234806338801008,0.306851184036336,0.231409432756891,0.320564827002333,0.328334672352406,0.22574606755703,0.223384234342623,0.21575027966508,0.222809857084067,0.308551423990416,0.216585295310979,0.327663248973856,0.273798977441278,0.218528254819714,18,0.253521126760563,1,TRUE,0,0,0,TRUE
"2","1_c1","A=1",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,0,0,1,FALSE,0,0,0,FALSE
"3","1_c1","Au=0",0.149987722813058,0.152482055408069,0.147324932901907,0.109760226516877,0.149523804350559,0.0678100348092697,0.0775892272739224,0.124277862556029,0.150041837720036,0.153913817676485,0.149899219576257,0.112324280629176,0.153953157409571,0.063593067737047,0.132173815285758,0.127688675480344,1,0.0140845070422535,1,TRUE,0,0,0,TRUE
"4","1_c1","Au=1",0.141027867268427,0.129805189456909,0.136880219670604,0.0531166859537263,0.122816663101613,0.0678100348092697,0.048892392616207,0.124277862556029,0.140806129933654,0.131517908795526,0.140717568740556,0.052618113493419,0.131325196914326,0.063593067737047,0.0706456597914696,0.127688675480344,3,0.0422535211267606,1,FALSE,0,0,0,TRUE
"5","1_c1","B=0",0.149551925400275,0.152082353912081,0.146813135561969,0.306851184036336,0.149040720218838,0.320564827002333,0.328334672352406,0.22574606755703,0.149592283545948,0.153521184664392,0.149452298574111,0.308551423990416,0.153556159600349,0.327663248973856,0.273798977441278,0.218528254819714,38,0.535211267605634,1,TRUE,0,0,0,TRUE
"6","1_c1","B=1",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,2,0.028169014084507,1,FALSE,0,0,0,FALSE
"7","1_c1","Bu=0",0.148505563327994,0.151122244761598,0.145585847637312,0.109760226516877,0.147882051716592,0.0678100348092697,0.0775892272739224,0.124277862556029,0.14851303007162,0.152577763677099,0.148379365823959,0.112324280629176,0.152602291701979,0.063593067737047,0.132173815285758,0.127688675480344,5,0.0704225352112676,1,TRUE,0,0,0,TRUE
"8","1_c1","Bu=1",0.141027867268427,0.141335002425226,0.136880219670604,0.0531166859537263,0.136213377026673,0.0678100348092697,0.048892392616207,0.124277862556029,0.140806129933654,0.142936430154581,0.140717568740556,0.052618113493419,0.142857600253121,0.063593067737047,0.0706456597914696,0.127688675480344,4,0.0563380281690141,1,FALSE,0,0,0,TRUE
"9","1_c2","A=0",0.347804675564995,0.33241244451585,0.395160067098239,0.446067726294935,0.383876801214936,0.523373392681213,0.548682715814616,0.272874852882872,0.355534927557003,0.327665811887125,0.354180631512626,0.444232691161965,0.330060222860579,0.549974562871606,0.357225686226928,0.259465511063018,36,0.580645161290323,1,TRUE,0,1,0,TRUE
"10","1_c2","A=1",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,1,0.0161290322580645,1,FALSE,0,1,0,FALSE
"11","1_c2","Au=0",0.119852184280527,0.126371314497224,0.10978255294366,0.149770777775718,0.115032181974791,0.0853940727017006,0.102807198305887,0.147502002036194,0.118751094333114,0.128795448453655,0.118792897963044,0.153608112601507,0.128480403749893,0.0781055719287505,0.168418020993381,0.149301249857095,2,0.032258064516129,1,TRUE,0,1,0,TRUE
"12","1_c2","Au=1",0.116925916696735,0.118298358307587,0.106666080649092,0.0646156370558358,0.106382407534179,0.0853940727017006,0.051778490686227,0.147502002036194,0.115760409795645,0.120687262440493,0.115819572712597,0.0651795732870153,0.120306882950206,0.0781055719287505,0.0863917256077741,0.149301249857095,1,0.0161290322580645,1,FALSE,0,1,0,TRUE
"13","1_c2","B=0",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,1,0.0161290322580645,1,FALSE,0,1,0,FALSE
"14","1_c2","B=1",0.116925916696735,0.109747657507769,0.106666080649092,0.0646156370558358,0.0974483330709584,0.0474201097537299,0.051778490686227,0.0857207243105261,0.115760409795645,0.112054513462082,0.115819572712597,0.0651795732870153,0.111610850703421,0.0473019183092917,0.0863917256077741,0.0911407010694042,8,0.129032258064516,1,FALSE,0,1,0,TRUE
"15","1_c2","Bu=0",0.132379880354915,0.138255526383461,0.123349832254227,0.149770777775718,0.128118433103147,0.0853940727017006,0.102807198305887,0.147502002036194,0.131576394270485,0.140664394503326,0.131543630926043,0.153608112601507,0.140454364320239,0.0781055719287505,0.168418020993381,0.149301249857095,12,0.193548387096774,1,TRUE,0,1,0,TRUE
"16","1_c2","Bu=1",0.116925916696735,0.117963369362999,0.106666080649092,0.0646156370558358,0.106027892273156,0.0853940727017006,0.051778490686227,0.147502002036194,0.115760409795645,0.120349953886482,0.115819572712597,0.0651795732870153,0.119966976605987,0.0781055719287505,0.0863917256077741,0.149301249857095,1,0.0161290322580645,1,FALSE,0,1,0,TRUE
"17","1_c3","A=0",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,1,0.0125,1,FALSE,1,0,0,FALSE
"18","1_c3","A=1",0.135471324467413,0.122916044350351,0.130632531585747,0.0646156370558358,0.113966720427736,0.0474201097537299,0.051778490686227,0.0857207243105261,0.135098550568045,0.124866821842123,0.135043282731382,0.0651795732870153,0.124583223174851,0.0473019183092917,0.0863917256077741,0.0911407010694042,8,0.1,1,FALSE,1,0,0,TRUE
"19","1_c3","Au=0",0.184449850690985,0.200856429555634,0.189145663982359,0.149770777775718,0.208625852669333,0.0853940727017006,0.102807198305887,0.147502002036194,0.185708660345583,0.201332768744907,0.185356470332952,0.153608112601507,0.201913186103113,0.0781055719287505,0.168418020993381,0.149301249857095,12,0.15,1,TRUE,1,0,0,TRUE
"20","1_c3","Au=1",0.135471324467413,0.0900815386018379,0.130632531585747,0.0646156370558358,0.0794370038049786,0.0853940727017006,0.051778490686227,0.147502002036194,0.135098550568045,0.0916857936206662,0.135043282731382,0.0651795732870153,0.0911648557519158,0.0781055719287505,0.0863917256077741,0.149301249857095,1,0.0125,1,FALSE,1,0,0,TRUE
"21","1_c3","B=0",0.182317735771102,0.198723329670632,0.186508080017583,0.446067726294935,0.205845534157977,0.523373392681213,0.548682715814616,0.272874852882872,0.18349762730889,0.199270883723807,0.183158453627792,0.444232691161965,0.199823683708413,0.549974562871606,0.357225686226928,0.259465511063018,41,0.5125,1,TRUE,1,0,0,TRUE
"22","1_c3","B=1",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,5,0.0625,1,FALSE,1,0,0,FALSE
"23","1_c3","Bu=0",0.177632930426315,0.194028952061221,0.180739355486221,0.149770777775718,0.199760124728338,0.0853940727017006,0.102807198305887,0.147502002036194,0.178641706188929,0.194728109898399,0.178331106384613,0.153608112601507,0.195220784172349,0.0781055719287505,0.168418020993381,0.149301249857095,5,0.0625,1,TRUE,1,0,0,TRUE
"24","1_c3","Bu=1",0.135471324467413,0.136442376335214,0.130632531585747,0.0646156370558358,0.129250813382803,0.0853940727017006,0.051778490686227,0.147502002036194,0.135098550568045,0.138333006803261,0.135043282731382,0.0651795732870153,0.138173968279682,0.0781055719287505,0.0863917256077741,0.149301249857095,7,0.0875,1,FALSE,1,0,0,TRUE
"25","1_c4","A=0",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,2,0.0277777777777778,1,FALSE,1,1,0,FALSE
"26","1_c4","A=1",0.107082198786724,0.0871290586337454,0.102152788700432,0.072680603934461,0.0660671019730214,0.0512871055790171,0.0572064106108903,0.0872266799181838,0.122927919114085,0.104429502716056,0.132995810242161,0.0837170437932653,0.0967498790432831,0.0522149697703269,0.117870910463748,0.108717447046624,6,0.0833333333333333,1,FALSE,1,1,0,TRUE
"27","1_c4","Au=0",0.154359298215133,0.175175428047122,0.159788828356346,0.313128665543427,0.19730375709624,0.309112475174308,0.320874447849387,0.193537556375452,0.147300694772283,0.172212356167016,0.152457272981899,0.306059730526481,0.193066636461721,0.313910684408678,0.240876631591009,0.182594079366889,18,0.25,1,TRUE,1,1,0,TRUE
"28","1_c4","Au=1",0.129312488511646,0.135653833733887,0.136053614902819,0.0839188270290517,0.117921664933977,0.0957853158675471,0.0767354337822578,0.193537556375452,0.122927919114085,0.134430707533,0.132995810242161,0.0837170437932653,0.127982050522725,0.0887237302689454,0.117870910463748,0.182594079366889,2,0.0277777777777778,1,FALSE,1,1,0,TRUE
"29","1_c4","B=0",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,0,0,1,FALSE,1,1,0,FALSE
"30","1_c4","B=1",0.107082198786724,0.0656766397444461,0.102152788700432,0.072680603934461,0.0616616923101444,0.0512871055790171,0.0572064106108903,0.0872266799181838,0.122927919114085,0.0766403558481105,0.132995810242161,0.0837170437932653,0.089731997444264,0.0522149697703269,0.117870910463748,0.108717447046624,12,0.166666666666667,1,FALSE,1,1,0,TRUE
"31","1_c4","Bu=0",0.323665817478769,0.346669078249236,0.312089058680554,0.313128665543427,0.378292297806131,0.309112475174308,0.320874447849387,0.193537556375452,0.314131274318913,0.330882815709895,0.267535364588961,0.306059730526481,0.317420433707266,0.313910684408678,0.240876631591009,0.182594079366889,26,0.361111111111111,1,TRUE,1,1,0,TRUE
"32","1_c4","Bu=1",0.129312488511646,0.132744632166454,0.136053614902819,0.0839188270290517,0.115639535051653,0.0957853158675471,0.0767354337822578,0.193537556375452,0.122927919114085,0.131621646659084,0.132995810242161,0.0837170437932653,0.125928704011066,0.0887237302689454,0.117870910463748,0.182594079366889,6,0.0833333333333333,1,FALSE,1,1,0,TRUE
"33","1_c5","A=0",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,0,0,1,FALSE,1,1,1,FALSE
"34","1_c5","A=1",0.203517245709366,0.183882584855632,0.123261831200512,0.14911308420699,0.119022557798184,0.135453766930774,0.142165943984958,0.142881911964451,0.30755960882063,0.282494196489119,0.210118033887522,0.21477862558477,0.216309204246234,0.204509830510036,0.273798977441278,0.218528254819714,13,0.228070175438596,1,TRUE,1,1,1,TRUE
"35","1_c5","Au=0",0.0894718551418404,0.0973811664793435,0.136802580911766,0.0501142302922909,0.135919719016258,0.0455543296833899,0.0680106635573159,0.165709940352318,0.0720027607738139,0.0815994554767389,0.10618280502884,0.0439365669434724,0.106679317365424,0.0458297234278774,0.0706456597914696,0.127688675480344,1,0.0175438596491228,1,FALSE,1,1,1,TRUE
"36","1_c5","Au=1",0.238968680791956,0.237213855868849,0.204392568918614,0.270500782007659,0.231775921480957,0.275176800006709,0.244639684700262,0.165709940352318,0.18814266882403,0.186348448287368,0.14668532510156,0.21477862558477,0.158323431735825,0.204509830510036,0.132173815285758,0.127688675480344,23,0.403508771929825,1,TRUE,1,1,1,TRUE
"37","1_c5","B=0",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,0,0,1,FALSE,1,1,1,FALSE
"38","1_c5","B=1",0.0898915593157314,0.0895023894858458,0.137873116350344,0.14911308420699,0.131747929792868,0.135453766930774,0.142165943984958,0.142881911964451,0.124881345622957,0.131481539081926,0.233369293109665,0.21477862558477,0.236839851598502,0.204509830510036,0.273798977441278,0.218528254819714,4,0.0701754385964912,1,TRUE,1,1,1,TRUE
"39","1_c5","Bu=0",0.0894718551418404,0.0973811664793435,0.136802580911766,0.0501142302922909,0.081452104939133,0.0455543296833899,0.0680106635573159,0.165709940352318,0.0720027607738139,0.0815994554767389,0.10618280502884,0.0439365669434724,0.071815375531167,0.0458297234278774,0.0706456597914696,0.127688675480344,1,0.0175438596491228,1,FALSE,1,1,1,TRUE
"40","1_c5","Bu=1",0.239493294189906,0.237687507405876,0.209158015950401,0.270500782007659,0.236967816143767,0.275176800006709,0.244639684700262,0.165709940352318,0.188554500732291,0.186694289821272,0.149437616383079,0.21477862558477,0.160912520713173,0.204509830510036,0.132173815285758,0.127688675480344,15,0.263157894736842,1,TRUE,1,1,1,TRUE
"41","1_d1","A=0",0.114978369207193,0.123768758151956,0.104694269138894,0.306851184036336,0.111452528333492,0.320564827002333,0.328334672352406,0.22574606755703,0.113771725197211,0.126395639336192,0.113842416249943,0.308551423990416,0.126029998604701,0.327663248973856,0.273798977441278,0.218528254819714,16,0.205128205128205,1,TRUE,0,0,0,TRUE
"42","1_d1","A=1",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,1,0.0128205128205128,1,FALSE,0,0,0,FALSE
"43","1_d1","Au=0",0.104142081888958,0.113126129331485,0.0933820458525707,0.109760226516877,0.100287569756066,0.0678100348092697,0.0775892272739224,0.124277862556029,0.102720677234135,0.115658862145804,0.102855380373134,0.112324280629176,0.115213376922384,0.063593067737047,0.132173815285758,0.127688675480344,2,0.0256410256410256,1,TRUE,0,0,0,TRUE
"44","1_d1","Au=1",0.100067620438943,0.107379102763516,0.089210547698893,0.0531166859537263,0.094412106712641,0.0678100348092697,0.048892392616207,0.124277862556029,0.0985736791513506,0.109830057543519,0.098732357112804,0.052618113493419,0.109345564808351,0.063593067737047,0.0706456597914696,0.127688675480344,4,0.0512820512820513,1,FALSE,0,0,0,TRUE
"45","1_d1","B=0",0.303108996394573,0.299053952760821,0.334525192312418,0.306851184036336,0.332580502107768,0.320564827002333,0.328334672352406,0.22574606755703,0.308689347291185,0.296756290072905,0.3076136009521,0.308551423990416,0.298546460292985,0.327663248973856,0.273798977441278,0.218528254819714,36,0.461538461538462,1,TRUE,0,0,0,TRUE
"46","1_d1","B=1",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,4,0.0512820512820513,1,FALSE,0,0,0,FALSE
"47","1_d1","Bu=0",0.228449801922031,0.231065349479761,0.237268091541735,0.109760226516877,0.239939371391372,0.0678100348092697,0.0775892272739224,0.124277862556029,0.230814537522303,0.231767474136553,0.23019976673872,0.112324280629176,0.232582081074148,0.063593067737047,0.132173815285758,0.127688675480344,11,0.141025641025641,1,TRUE,0,0,0,TRUE
"48","1_d1","Bu=1",0.100067620438943,0.068655378087351,0.089210547698893,0.0531166859537263,0.0582139708698279,0.0678100348092697,0.048892392616207,0.124277862556029,0.0985736791513506,0.0698090613981895,0.098732357112804,0.052618113493419,0.0691622194877556,0.063593067737047,0.0706456597914696,0.127688675480344,4,0.0512820512820513,1,FALSE,0,0,0,TRUE
"49","1_d2","A=0",0.168581139754529,0.162067765386872,0.159799846081491,0.238409134839257,0.158266294912001,0.218189770480433,0.231201076680398,0.19772367874995,0.246459135354179,0.244964932165265,0.250449390257883,0.331675310530368,0.270515607003573,0.343780927146018,0.357225686226928,0.259465511063018,13,0.178082191780822,1,TRUE,0,1,0,TRUE
"50","1_d2","A=1",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,1,0.0136986301369863,1,FALSE,0,1,0,FALSE
"51","1_d2","Au=0",0.0654013660894113,0.0699710552052069,0.0726068000690197,0.0900901207001899,0.0771124925061658,0.0589338472227396,0.0664726674742558,0.11046897990133,0.0849345484735099,0.0978710758687319,0.117316484089368,0.119360201404117,0.138892675750275,0.0646452313356195,0.168418020993381,0.149301249857095,3,0.0410958904109589,1,TRUE,0,1,0,TRUE
"52","1_d2","Au=1",0.0629733416278279,0.0663292090413066,0.0701270226322201,0.0474635375255496,0.0736347480370126,0.0589338472227396,0.0476201458623974,0.11046897990133,0.0811981867936161,0.0918090995582096,0.113130084485538,0.0547589379203904,0.132291852231837,0.0646452313356195,0.0863917256077741,0.149301249857095,2,0.0273972602739726,1,FALSE,0,1,0,TRUE
"53","1_d2","B=0",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,6,0.0821917808219178,1,FALSE,0,1,0,FALSE
"54","1_d2","B=1",0.0629733416278279,0.052874046364339,0.0701270226322201,0.0474635375255496,0.0418142772825301,0.0451259383714372,0.0476201458623974,0.0674715785817361,0.0811981867936161,0.0690961847407245,0.113130084485538,0.0547589379203904,0.0619960328772144,0.0464232259663127,0.0863917256077741,0.0911407010694042,13,0.178082191780822,1,FALSE,0,1,0,TRUE
"55","1_d2","Bu=0",0.487880727269588,0.476963959487069,0.416678606315067,0.451006310228635,0.48729119817745,0.484061799105876,0.427751459235384,0.231235184101914,0.378155401338999,0.352420677000129,0.24481975073564,0.331675310530368,0.26522320859858,0.343780927146018,0.168418020993381,0.149301249857095,28,0.383561643835616,1,TRUE,0,1,0,TRUE
"56","1_d2","Bu=1",0.103004573921458,0.114842635090096,0.158951396513386,0.0650235521946977,0.0987670382560079,0.0471245908385192,0.0889670893702376,0.231235184101914,0.0811981867936161,0.0940554153001021,0.113130084485538,0.0547589379203904,0.0819603247288458,0.0464232259663127,0.0863917256077741,0.149301249857095,7,0.0958904109589041,1,FALSE,0,1,0,TRUE
"57","1_d3","A=0",0.0631604501651374,0.0534088661438532,0.0705851589747162,0.048488177449681,0.0468194236303786,0.0451259383714372,0.0476942698681611,0.0674715785817361,0.0752696997744921,0.0655927612510206,0.10821333432946,0.057282150127184,0.0708711807129968,0.0464232259663127,0.0934629264445615,0.0911407010694042,3,0.0434782608695652,1,FALSE,0,1,1,TRUE
"58","1_d3","A=1",0.0245927548546794,0.0284756647125549,0.0258546528782982,0.0302719034930605,0.0315569754144167,0.0438151033791275,0.0451837077574647,0.025698207330913,0.023428177226232,0.0248913076834189,0.0240120607302476,0.0265061818869882,0.0245601494048375,0.04515061555205,0.0233815474814938,0.0260943942195984,5,0.072463768115942,1,FALSE,0,1,1,FALSE
"59","1_d3","Au=0",0.0631604501651374,0.0671637097579452,0.0705851589747162,0.048488177449681,0.0741327565616831,0.0589338472227396,0.0476942698681611,0.11046897990133,0.0752696997744921,0.0865127084508418,0.10821333432946,0.057282150127184,0.124404334897131,0.0646452313356195,0.0934629264445615,0.149301249857095,3,0.0434782608695652,1,FALSE,0,1,1,TRUE
