"","A","B","Au","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"1",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,1,0.127486017841116,0.0538699871218795,0.322211650362504,0.427962717669736,3008,14939,24083,14887,96025,1
"2",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,1,0.051938454517682,0.0169421538940731,0.888522700521386,-0.209548218126704,3086,15136,23958,14967,79346,1
"3",0,0,1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,1,0.0639298339784754,-0.032400576208925,0.101177891695647,0.950467302946292,2964,84976,93943,14995,85513,1
"4",0,0,1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,1,0.0102026732120862,-0.00407403761373469,0.503747687781011,-0.834133352378262,3028,85140,93919,15029,20115,1
"5",0,1,0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,1,0.576832603213703,0.0422864571203004,-0.258881229905215,0.353437438942703,3007,84881,75825,14699,93995,1
"6",0,1,0,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,1,-0.598974700614291,-0.0479720017176474,0.258080818481897,-0.343329248562464,3075,84953,76295,15053,6080,1
"7",0,1,0,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,1,0.275244045826715,0.0190040687993996,-0.846143039753279,-0.201982416313231,3064,84801,75519,15136,77228,1
"8",0,1,0,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,1,-0.271959311577457,-0.0165614573808007,0.853124514834769,0.19908375945386,2887,85020,76059,14947,22413,1
"9",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,1,0.34297069754203,-0.0249039660459459,-0.0922620173720863,0.885686594597529,3117,14985,6006,15084,83483,1
"10",0,1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,1,-0.343400972365844,0.028303079497144,0.093697536764176,-0.882061896976402,3070,15124,6029,15067,16401,1
"11",0,1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,1,0.0744941335612522,-0.00532570257317194,-0.499758950567484,-0.8227320661339,3034,14866,6063,15029,19627,1
"12",0,1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,1,-0.0715480382076734,0.00644112406553952,0.500612735365496,0.822985722202803,2902,14826,5971,14678,80705,1
"13",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,1,-0.189225797040603,0.719300937800253,0.159417457397256,0.214705265614872,27080,15224,24087,15002,85780,1
"14",1,0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,1,0.183073774795061,-0.725292810577464,-0.159730141252904,-0.218722933594922,27253,14932,23812,14967,14096,1
"15",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,1,-0.118439294005309,0.458651651282049,0.710611039904901,-0.167371210535758,26859,14913,23867,15099,70988,1
"16",1,0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,1,0.119868600873288,-0.457511386375469,-0.706434502391999,0.167533917119313,27264,15296,23965,15000,29208,1
"17",1,0,1,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,1,-0.13166723045707,-0.526354384644877,0.0667613646719388,0.706000949317838,27150,84899,93979,14814,76651,1
"18",1,0,1,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,1,0.135562297474805,0.529225590742175,-0.0745473600463586,-0.704555498894947,27124,84905,94023,15027,23617,1
"19",1,0,1,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,1,-0.03254468264273,-0.137212441557074,0.469932266380588,-0.781221770203587,27284,85061,94011,14889,17863,1
"20",1,0,1,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,1,0.0325809371757218,0.139067026009847,-0.471372086531018,0.778164662492443,27055,84808,93940,14925,82198,1
"21",1,1,0,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,1,-0.757131431793644,0.522132389310966,-0.048005686782333,0.0707918919054847,27032,85086,76044,14953,36609,1
"22",1,1,0,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,1,0.75762553768826,-0.517510291543991,0.0450914131087729,-0.0658580037934642,27029,85110,76338,14952,63366,1
"23",1,1,0,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,1,-0.655606397934338,0.45344644391438,-0.299202459630655,-0.0736055462007366,26819,84930,76128,15079,30199,1
"24",1,1,0,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,1,0.655786970006815,-0.453363175325279,0.297892972178989,0.0706256117356663,26952,85093,76094,15096,69861,1
"25",1,1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,1,-0.687583716767696,-0.482832382964025,-0.0283744452129031,0.273958744770512,27086,15212,5897,14992,32881,1
"26",1,1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,1,0.695861462636907,0.476103955144866,0.0209116013705485,-0.271033689596579,26644,14797,6014,15039,67684,1
"27",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,1,-0.286776075354852,-0.20099265740047,-0.294946224808704,-0.477984582981155,26964,14901,6050,14946,7645,1
"28",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,1,0.284855696308904,0.200941837462078,0.287090465231105,0.4783758105217,26777,14854,5891,15004,92448,1
"29",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,1,0.0625409702433329,0.0261646207648718,0.0195919766555028,0.0262038626656167,2977,14916,23819,14878,99988,1
