"","X","trial_id","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","A","B","E","include"
"1",1,"1_c1",1,"c1","A=0",27,0.262135922330097,NA,0.179139370193783,0.179139370193783,0.179139370193783,1,0.179139370193783,1,1,1,TRUE,0,0,0,TRUE
"2",2,"1_c1",1,"c1","A=1",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"3",3,"1_c1",1,"c1","Au=0",4,0.0388349514563107,0,0.0247998691961372,0.0247998691961372,0.0247998691961372,0.5,0.0247998691961372,0.5,0.5,0.5,TRUE,0,0,0,TRUE
"4",4,"1_c1",1,"c1","Au=1",0,0,0,0,-0.050257563544354,0,0,-0.050257563544354,0.5,0,0.5,FALSE,0,0,0,TRUE
"5",5,"1_c1",1,"c1","B=0",64,0.621359223300971,NA,0.0238438885113855,0.0238438885113855,0.0238438885113855,1,0.0238438885113855,1,1,1,TRUE,0,0,0,TRUE
"6",6,"1_c1",1,"c1","B=1",3,0.029126213592233,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"7",7,"1_c1",1,"c1","Bu=0",4,0.0388349514563107,0,0.0217122610548837,0.0217122610548837,0.0217122610548837,0.5,0.0217122610548837,0.5,0.5,0.5,TRUE,0,0,0,TRUE
"8",8,"1_c1",1,"c1","Bu=1",1,0.00970873786407767,0,0,-0.00940744801400903,0,0,-0.00940744801400903,0.5,0,0.5,FALSE,0,0,0,TRUE
"9",9,"1_c2",1,"c2","A=0",48,0.558139534883721,NA,0.436951540828883,0.436951540828883,0.436951540828883,1,0.436951540828883,1,1,1,TRUE,0,1,0,TRUE
"10",10,"1_c2",1,"c2","A=1",2,0.0232558139534884,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"11",11,"1_c2",1,"c2","Au=0",1,0.0116279069767442,0,0.0108513269241951,0.0108513269241951,0.0108513269241951,0.5,0.0108513269241951,0.5,0.5,0.5,TRUE,0,1,0,TRUE
"12",12,"1_c2",1,"c2","Au=1",0,0,0,0,-0.0213718937928797,0,0,-0.0213718937928797,0.5,0,0.5,FALSE,0,1,0,TRUE
"13",13,"1_c2",1,"c2","B=0",2,0.0232558139534884,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"14",14,"1_c2",1,"c2","B=1",3,0.0348837209302326,NA,0,-0.0588716925224696,0,0,-0.0588716925224696,0,0,0,FALSE,0,1,0,TRUE
"15",15,"1_c2",1,"c2","Bu=0",26,0.302325581395349,0,0.0537007874468272,0.0537007874468272,0.0537007874468272,0.5,0.0537007874468272,0.5,0.5,0.5,TRUE,0,1,0,TRUE
"16",16,"1_c2",1,"c2","Bu=1",4,0.0465116279069767,0,0,-0.0227363118402856,0,0,-0.0227363118402856,0.5,0,0.5,FALSE,0,1,0,TRUE
"17",17,"1_c3",1,"c3","A=0",2,0.0196078431372549,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,0,FALSE
"18",18,"1_c3",1,"c3","A=1",6,0.0588235294117647,NA,0,-0.0988197807695186,0,0,-0.0988197807695186,0,0,0,FALSE,1,0,0,TRUE
"19",19,"1_c3",1,"c3","Au=0",33,0.323529411764706,0,0.12791876029861,0.12791876029861,0.12791876029861,0.5,0.12791876029861,0.5,0.5,0.5,TRUE,1,0,0,TRUE
"20",20,"1_c3",1,"c3","Au=1",1,0.00980392156862745,0,0,-0.259150150323054,0,0,-0.259150150323054,0.5,0,0.5,FALSE,1,0,0,TRUE
"21",21,"1_c3",1,"c3","B=0",52,0.509803921568627,NA,0.123199997748583,0.123199997748583,0.123199997748583,1,0.123199997748583,1,1,1,TRUE,1,0,0,TRUE
"22",22,"1_c3",1,"c3","B=1",1,0.00980392156862745,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,0,0,FALSE
"23",23,"1_c3",1,"c3","Bu=0",7,0.0686274509803922,0,0.112463536634954,0.112463536634954,0.112463536634954,0.5,0.112463536634954,0.5,0.5,0.5,TRUE,1,0,0,TRUE
"24",24,"1_c3",1,"c3","Bu=1",0,0,0,0,-0.0484243001951778,0,0,-0.0484243001951778,0.5,0,0.5,FALSE,1,0,0,TRUE
"25",25,"1_c4",1,"c4","A=0",2,0.0217391304347826,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,1,1,0,FALSE
"26",26,"1_c4",1,"c4","A=1",3,0.0326086956521739,NA,0,-0.17065349802842,0,0,-0.278980065757234,0,0,0,FALSE,1,1,0,TRUE
"27",27,"1_c4",1,"c4","Au=0",40,0.434782608695652,0.167,0.0746438539649007,0.0746438539649007,0.0559828904736756,0.666666666666666,0.0559828904736756,0.666666666666666,0.5,0.5,TRUE,1,1,0,TRUE
