"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"40","1_c5","1","c5","Bu=1",15,0.263157894736842,0.5,0.208070158732191,0.208070158732191,0.071929970021067,1,0.071929970021067,1,0.5,0.5,TRUE
"41","1_d1","1","d1","A=0",16,0.205128205128205,NA,0.0314615948170735,0.0314615948170735,0.0314615948170735,1,0.0314615948170735,1,1,1,TRUE
"42","1_d1","1","d1","A=1",1,0.0128205128205128,NA,0,0,0,NA,0,NA,NA,NA,NA
"43","1_d1","1","d1","Au=0",2,0.0256410256410256,0,0.0092207663586124,0.0092207663586124,0.0092207663586124,0.5,0.0092207663586124,0.5,0.5,0.5,TRUE
"44","1_d1","1","d1","Au=1",4,0.0512820512820513,0,0,0.00388022795319697,0,0,0.00388022795319697,0.5,0,0.5,FALSE
"45","1_d1","1","d1","B=0",36,0.461538461538462,NA,0.227061651232426,0.227061651232426,0.227061651232426,1,0.227061651232426,1,1,1,TRUE
"46","1_d1","1","d1","B=1",4,0.0512820512820513,NA,0,0,0,NA,0,NA,NA,NA,NA
"47","1_d1","1","d1","Bu=0",11,0.141025641025641,0,0.173061513554463,0.173061513554463,0.173061513554463,0.5,0.173061513554463,0.5,0.5,0.5,TRUE
"48","1_d1","1","d1","Bu=1",4,0.0512820512820513,0,0,0.130948770696976,0,0,0.130948770696976,0.5,0,0.5,FALSE
"49","1_d2","1","d2","A=0",13,0.178082191780822,NA,0.23074255057141,0.23074255057141,0.159050156679381,1,0.159050156679381,1,1,1,TRUE
"50","1_d2","1","d2","A=1",1,0.0136986301369863,NA,0,0,0,NA,0,NA,NA,NA,NA
"51","1_d2","1","d2","Au=0",3,0.0410958904109589,0,0.0107950186602117,0.0107950186602117,0.00795263240684685,0.5,0.00795263240684685,0.5,0.5,0.5,TRUE
"52","1_d2","1","d2","Au=1",2,0.0273972602739726,0,0,0.00628378937745895,0,0,0.00379904105995429,0.5,0,0.5,FALSE
"53","1_d2","1","d2","B=0",6,0.0821917808219178,NA,0,0,0,NA,0,NA,NA,NA,NA
"54","1_d2","1","d2","B=1",13,0.178082191780822,NA,0,0.0887441388647664,0,0,0.212107443836483,0,0,0,FALSE
"55","1_d2","1","d2","Bu=0",28,0.383561643835616,0.5,0.309584449783972,0.309584449783972,0.154792224891986,1,0.154792224891986,1,0.5,0.5,TRUE
"56","1_d2","1","d2","Bu=1",7,0.0958904109589041,0.5,0,0,0,0,0.128194308937993,0,0,0.5,FALSE
"57","1_d3","1","d3","A=0",3,0.0434782608695652,NA,0,0.0872977158534798,0,0,0.159490265051638,0,0,0,FALSE
"58","1_d3","1","d3","A=1",5,0.072463768115942,NA,0,0,0,NA,0,NA,NA,NA,NA
"59","1_d3","1","d3","Au=0",3,0.0434782608695652,0,0,0.0051178003839497,0,0,0.00803322523077528,0.5,0,0.5,FALSE
"60","1_d3","1","d3","Au=1",2,0.0289855072463768,0,0,0.00139514049684311,0,0,0.00376104719259873,0.5,0,0.5,FALSE
"61","1_d3","1","d3","B=0",1,0.0144927536231884,NA,0,0,0,NA,0,NA,NA,NA,NA
"62","1_d3","1","d3","B=1",9,0.130434782608696,NA,0.336508230507758,0.336508230507758,0.212668823842147,1,0.212668823842147,1,1,1,TRUE
