"","subject_id","trial_id","Respondent","Response","Observed","pgroup","Actual","include","structure","trial_type","trial_structure_type","Variable","SE"
"21","01vl5soqs7","3_d4","node3","Au=0","FALSE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=0,E=0","Disjunctive: A=1,B=0,E=0","A",0.0601360065050543
"22","01vl5soqs7","3_d4","sampled_variable","B=0","TRUE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=0,E=0","Disjunctive: A=1,B=0,E=0","B",0.0456304145941567
"23","01vl5soqs7","3_d6","node3","Bu=0","FALSE","A=.1,Au=.7,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=1,E=0","Disjunctive: A=1,B=1,E=0","B",0.0548462684329549
"24","01vl5soqs7","3_d6","sampled_variable","Au=1","FALSE","A=.1,Au=.7,B=.8,Bu=.5",FALSE,TRUE,"disjunctive","A=1,B=1,E=0","Disjunctive: A=1,B=1,E=0","A",0.0119753933567385
"25","06j6drlj5j","1_c2","node3","A=0","TRUE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"conjunctive","A=0,B=1,E=0","Conjunctive: A=0,B=1,E=0","A",0.0626686573357484
"26","06j6drlj5j","1_c2","sampled_variable","Au=0","FALSE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"conjunctive","A=0,B=1,E=0","Conjunctive: A=0,B=1,E=0","A",0.0224389788271049
"27","06j6drlj5j","1_c4","node3","A=1","TRUE","A=.1,Au=.5,B=.8,Bu=.5",FALSE,TRUE,"conjunctive","A=1,B=1,E=0","Conjunctive: A=1,B=1,E=0","A",0.0325723316654405
"28","06j6drlj5j","1_c4","sampled_variable","Au=0","FALSE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"conjunctive","A=1,B=1,E=0","Conjunctive: A=1,B=1,E=0","A",0.0510310363079829
"29","06j6drlj5j","1_d1","node3","A=0","TRUE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=0,E=0","Disjunctive: A=0,B=0,E=0","A",0.045720811704704
"30","06j6drlj5j","1_d1","sampled_variable","B=0","TRUE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=0,E=0","Disjunctive: A=0,B=0,E=0","B",0.0564461065927187
"31","06j6drlj5j","1_d2","node3","A=0","TRUE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=1,E=0","Disjunctive: A=0,B=1,E=0","A",0.0447778266971195
"32","06j6drlj5j","1_d2","sampled_variable","Bu=0","FALSE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=0,B=1,E=0","Disjunctive: A=0,B=1,E=0","B",0.0569116244973546
"33","06j6drlj5j","1_d4","node3","A=1","TRUE","A=.1,Au=.5,B=.8,Bu=.5",FALSE,TRUE,"disjunctive","A=1,B=0,E=0","Disjunctive: A=1,B=0,E=0","A",0.0453865235883682
"34","06j6drlj5j","1_d4","sampled_variable","Au=0","FALSE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=0,E=0","Disjunctive: A=1,B=0,E=0","A",0.0620097963530763
"35","06j6drlj5j","1_d7","node3","Bu=1","FALSE","A=.1,Au=.5,B=.8,Bu=.5",TRUE,TRUE,"disjunctive","A=1,B=1,E=1","Disjunctive: A=1,B=1,E=1","B",0.0589315616963706
