"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","baseline"
"38","1_c5","1","c5","B=1",4,0.0701754385964912,NA,0.249013748274172,0.249013748274172,0.109431248650716,1,0.109431248650716,1,1,1,TRUE,0.125
"39","1_c5","1","c5","Bu=0",1,0.0175438596491228,0.5,0,0,0,0,0.258869138893793,0,0,0.5,FALSE,0.125
"40","1_c5","1","c5","Bu=1",15,0.263157894736842,0.5,0.416140317464382,0.416140317464382,0.13640032891317,1,0.13640032891317,1,0.5,0.5,TRUE,0.125
"41","1_d1","1","d1","A=0",16,0.205128205128205,NA,0.259278208306425,0.259278208306425,0.259278208306425,1,0.259278208306425,1,1,1,TRUE,0.125
"42","1_d1","1","d1","A=1",1,0.0128205128205128,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"43","1_d1","1","d1","Au=0",2,0.0256410256410256,0,0.0184415327172248,0.0184415327172248,0.0184415327172248,0.5,0.0184415327172248,0.5,0.5,0.5,TRUE,0.125
"44","1_d1","1","d1","Au=1",4,0.0512820512820513,0,0,0.0160169886061068,0,0,0.0160169886061068,0.5,0,0.5,FALSE,0.125
"45","1_d1","1","d1","B=0",36,0.461538461538462,NA,0.580771100935339,0.580771100935339,0.580771100935339,1,0.580771100935339,1,1,1,TRUE,0.125
"46","1_d1","1","d1","B=1",4,0.0512820512820513,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"47","1_d1","1","d1","Bu=0",11,0.141025641025641,0,0.196339139307286,0.196339139307286,0.196339139307286,0.5,0.196339139307286,0.5,0.5,0.5,TRUE,0.125
"48","1_d1","1","d1","Bu=1",4,0.0512820512820513,0,0,0.102941827513851,0,0,0.102941827513851,0.5,0,0.5,FALSE,0.125
"49","1_d2","1","d2","A=0",13,0.178082191780822,NA,0.200117349935944,0.200117349935944,0.121699370826284,1,0.121699370826284,1,1,1,TRUE,0.125
"50","1_d2","1","d2","A=1",1,0.0136986301369863,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"51","1_d2","1","d2","Au=0",3,0.0410958904109589,0,0.0131784194845064,0.0131784194845064,0.00794287046978073,0.5,0.00794287046978073,0.5,0.5,0.5,TRUE,0.125
"52","1_d2","1","d2","Au=1",2,0.0273972602739726,0,0,0.0125675787549179,0,0,0.00759808211990859,0.5,0,0.5,FALSE,0.125
"53","1_d2","1","d2","B=0",6,0.0821917808219178,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"54","1_d2","1","d2","B=1",13,0.178082191780822,NA,0,0.097706695687823,0,0,0.298191313344902,0,0,0,FALSE,0.125
"55","1_d2","1","d2","Bu=0",28,0.383561643835616,0.5,0.918892326814802,0.918892326814802,0.459446163407401,1,0.459446163407401,1,0.5,0.5,TRUE,0.125
"56","1_d2","1","d2","Bu=1",7,0.0958904109589041,0.5,0,0,0,0,0.415212738941174,0,0,0.5,FALSE,0.125
"57","1_d3","1","d3","A=0",3,0.0434782608695652,NA,0,0.0429715575092739,0,0,0.121748648044749,0,0,0,FALSE,0.125
"58","1_d3","1","d3","A=1",5,0.072463768115942,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"59","1_d3","1","d3","Au=0",3,0.0434782608695652,0,0,0.00268264064869319,0,0,0.00794043456307164,0.5,0,0.5,FALSE,0.125
"60","1_d3","1","d3","Au=1",2,0.0289855072463768,0,0,0.00279028099368621,0,0,0.00752209438519746,0.5,0,0.5,FALSE,0.125
"61","1_d3","1","d3","B=0",1,0.0144927536231884,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"62","1_d3","1","d3","B=1",9,0.130434782608696,NA,0.499722382617228,0.499722382617228,0.298418682971674,1,0.298418682971674,1,1,1,TRUE,0.125
"63","1_d3","1","d3","Bu=0",1,0.0144927536231884,0.5,0,0,0,0,0.458549781875805,0,0,0.5,FALSE,0.125
"64","1_d3","1","d3","Bu=1",45,0.652173913043478,0.5,0.829530270209145,0.829530270209145,0.414765135104572,1,0.414765135104572,1,0.5,0.5,TRUE,0.125
"65","1_d4","1","d4","A=0",1,0.015625,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"66","1_d4","1","d4","A=1",10,0.15625,NA,0,0.150366985796623,0,0,0.427468326184901,0,0,0,FALSE,0.125
"67","1_d4","1","d4","Au=0",28,0.4375,0.5,0.588437576316941,0.588437576316941,0.29421878815847,1,0.29421878815847,1,0.5,0.5,TRUE,0.125
"68","1_d4","1","d4","Au=1",4,0.0625,0.5,0,0,0,0,0.2431594450946,0,0,0.5,FALSE,0.125
"69","1_d4","1","d4","B=0",14,0.21875,NA,0.437941223067084,0.437941223067084,0.306582583908723,1,0.306582583908723,1,1,1,TRUE,0.125
"70","1_d4","1","d4","B=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"71","1_d4","1","d4","Bu=0",3,0.046875,0,0.109207548870545,0.109207548870545,0.0714222856258536,0.5,0.0714222856258536,0.5,0.5,0.5,TRUE,0.125
"72","1_d4","1","d4","Bu=1",4,0.0625,0,0,0.0837463808155567,0,0,0.0596519863429233,0.5,0,0.5,FALSE,0.125
"73","1_d5","1","d5","A=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"74","1_d5","1","d5","A=1",9,0.147540983606557,NA,0.703300263786758,0.703300263786758,0.426874854228533,1,0.426874854228533,1,1,1,TRUE,0.125
"75","1_d5","1","d5","Au=0",1,0.0163934426229508,0.5,0,0,0,0,0.294405745402592,0,0,0.5,FALSE,0.125
"76","1_d5","1","d5","Au=1",37,0.60655737704918,0.5,0.489117513151726,0.489117513151726,0.244558756575863,1,0.244558756575863,1,0.5,0.5,TRUE,0.125
"77","1_d5","1","d5","B=0",6,0.0983606557377049,NA,0,0.174107589393383,0,0,0.306137265271825,0,0,0,FALSE,0.125
"78","1_d5","1","d5","B=1",3,0.0491803278688525,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"79","1_d5","1","d5","Bu=0",2,0.0327868852459016,0,0,0.0334162759730767,0,0,0.0714755617284309,0.5,0,0.5,FALSE,0.125
"80","1_d5","1","d5","Bu=1",3,0.0491803278688525,0,0,0.035169662331005,0,0,0.059308204095754,0.5,0,0.5,FALSE,0.125
"81","1_d6","1","d6","A=0",2,0.03125,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
