"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","baseline"
"1","1_c1","1","c1","A=0",18,0.253521126760563,NA,0.207258210321184,0.207258210321184,0.207258210321184,1,0.207258210321184,1,1,1,TRUE,0.125
"2","1_c1","1","c1","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"3","1_c1","1","c1","Au=0",1,0.0140845070422535,0,0.0258172462016801,0.0258172462016801,0.0258172462016801,0.5,0.0258172462016801,0.5,0.5,0.5,TRUE,0.125
"4","1_c1","1","c1","Au=1",3,0.0422535211267606,0,0,-0.0107114940297082,0,0,-0.0107114940297082,0.5,0,0.5,FALSE,0.125
"5","1_c1","1","c1","B=0",38,0.535211267605634,NA,0.0647105289667485,0.0647105289667485,0.0647105289667485,1,0.0647105289667485,1,1,1,TRUE,0.125
"6","1_c1","1","c1","B=1",2,0.028169014084507,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"7","1_c1","1","c1","Bu=0",5,0.0704225352112676,0,0.0252841753833608,0.0252841753833608,0.0252841753833608,0.5,0.0252841753833608,0.5,0.5,0.5,TRUE,0.125
"8","1_c1","1","c1","Bu=1",4,0.0563380281690141,0,0,-0.0108112535922808,0,0,-0.0108112535922808,0.5,0,0.5,FALSE,0.125
"9","1_c2","1","c2","A=0",36,0.580645161290323,NA,0.411696626158267,0.411696626158267,0.411696626158267,1,0.411696626158267,1,1,1,TRUE,0.125
"10","1_c2","1","c2","A=1",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"11","1_c2","1","c2","Au=0",2,0.032258064516129,0,0.0512613100435,0.0512613100435,0.0512613100435,0.5,0.0512613100435,0.5,0.5,0.5,TRUE,0.125
"12","1_c2","1","c2","Au=1",1,0.0161290322580645,0,0,-0.0214551837141732,0,0,-0.0214551837141732,0.5,0,0.5,FALSE,0.125
"13","1_c2","1","c2","B=0",1,0.0161290322580645,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
