"","trial_id","pgroup","full","prop","trial_structure_type","Variable","Actual"
"1","1_c5","A=.1,Au=.5,B=.8,Bu=.5",0.0235215416473721,0,"Conjunctive: A=1,B=1,E=1","A",NA
"2","1_c5","A=.1,Au=.5,B=.8,Bu=.5",0.278596418115503,0.228070175438596,"Conjunctive: A=1,B=1,E=1","A","TRUE"
"3","1_c5","A=.1,Au=.5,B=.8,Bu=.5",0.0766266244824362,0.0175438596491228,"Conjunctive: A=1,B=1,E=1","A","FALSE"
"4","1_c5","A=.1,Au=.5,B=.8,Bu=.5",0.203702130696757,0.403508771929825,"Conjunctive: A=1,B=1,E=1","A","TRUE"
"5","1_c5","A=.1,Au=.5,B=.8,Bu=.5",0.0235215416473721,0,"Conjunctive: A=1,B=1,E=1","B",NA
"6","1_c5","A=.1,Au=.5,B=.8,Bu=.5",0.114079945632304,0.0701754385964912,"Conjunctive: A=1,B=1,E=1","B","TRUE"
"7","1_c5","A=.1,Au=.5,B=.8,Bu=.5",0.0766266244824362,0.0175438596491228,"Conjunctive: A=1,B=1,E=1","B","FALSE"
"8","1_c5","A=.1,Au=.5,B=.8,Bu=.5",0.20332517329582,0.263157894736842,"Conjunctive: A=1,B=1,E=1","B","TRUE"
"9","1_d7","A=.1,Au=.5,B=.8,Bu=.5",0.0235215416473721,0.0294117647058824,"Disjunctive: A=1,B=1,E=1","A",NA
"10","1_d7","A=.1,Au=.5,B=.8,Bu=.5",0.195279751357388,0.147058823529412,"Disjunctive: A=1,B=1,E=1","A","TRUE"
"11","1_d7","A=.1,Au=.5,B=.8,Bu=.5",0.0917205330387107,0.0147058823529412,"Disjunctive: A=1,B=1,E=1","A","FALSE"
"12","1_d7","A=.1,Au=.5,B=.8,Bu=.5",0.155547983212506,0.220588235294118,"Disjunctive: A=1,B=1,E=1","A","TRUE"
"13","1_d7","A=.1,Au=.5,B=.8,Bu=.5",0.0235215416473721,0.0147058823529412,"Disjunctive: A=1,B=1,E=1","B",NA
"14","1_d7","A=.1,Au=.5,B=.8,Bu=.5",0.161116407005984,0.161764705882353,"Disjunctive: A=1,B=1,E=1","B","TRUE"
"15","1_d7","A=.1,Au=.5,B=.8,Bu=.5",0.0917205330387107,0.0294117647058824,"Disjunctive: A=1,B=1,E=1","B","FALSE"
"16","1_d7","A=.1,Au=.5,B=.8,Bu=.5",0.257571709051956,0.382352941176471,"Disjunctive: A=1,B=1,E=1","B","TRUE"
"17","2_c5","A=.5,Au=.1,B=.5,Bu=.8",0.0235215416473721,0.0119047619047619,"Conjunctive: A=1,B=1,E=1","A",NA
"18","2_c5","A=.5,Au=.1,B=.5,Bu=.8",0.162032578006112,0.0952380952380952,"Conjunctive: A=1,B=1,E=1","A","TRUE"
"19","2_c5","A=.5,Au=.1,B=.5,Bu=.8",0.0816007995791075,0.0238095238095238,"Conjunctive: A=1,B=1,E=1","A","FALSE"
"20","2_c5","A=.5,Au=.1,B=.5,Bu=.8",0.364500560471459,0.345238095238095,"Conjunctive: A=1,B=1,E=1","A","TRUE"
"21","2_c5","A=.5,Au=.1,B=.5,Bu=.8",0.0235215416473721,0.0119047619047619,"Conjunctive: A=1,B=1,E=1","B",NA
"22","2_c5","A=.5,Au=.1,B=.5,Bu=.8",0.161606024972465,0.154761904761905,"Conjunctive: A=1,B=1,E=1","B","TRUE"
"23","2_c5","A=.5,Au=.1,B=.5,Bu=.8",0.0676591785976852,0.0119047619047619,"Conjunctive: A=1,B=1,E=1","B","FALSE"
"24","2_c5","A=.5,Au=.1,B=.5,Bu=.8",0.115557775078427,0.345238095238095,"Conjunctive: A=1,B=1,E=1","B","TRUE"
"25","2_d7","A=.5,Au=.1,B=.5,Bu=.8",0.0235215416473721,0.0138888888888889,"Disjunctive: A=1,B=1,E=1","A",NA
"26","2_d7","A=.5,Au=.1,B=.5,Bu=.8",0.0730826745741781,0.0972222222222222,"Disjunctive: A=1,B=1,E=1","A","TRUE"
